"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PBBI","PB Bancorp, Inc.","10.4","81444157.6","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/pbbi",
"PCSB","PCSB Financial Corporation","16.48","299361012.8","n/a","2017","Finance","Banks","http://www.nasdaq.com/symbol/pcsb",
"PGC","Peapack-Gladstone Financial Corporation","31.13","547395647.92","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/pgc",
"PWOD","Penns Woods Bancorp, Inc.","39.61","187564916.12","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pwod",
"PFSI","PennyMac Financial Services, Inc.","16.4","383620026","n/a","2013","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/pfsi",
"PEBO","Peoples Bancorp Inc.","32.74","598182488.82","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pebo",
"PEBK","Peoples Bancorp of North Carolina, Inc.","27.49","149483472.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pebk",
"PFBX","Peoples Financial Corporation","13.35","68394533.1","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pfbx",
"PFIS","Peoples Financial Services Corp. ","41.6","307680380.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pfis",
"PBCT","People&#39;s United Financial, Inc.","17.15","5905536901.25","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/pbct",
"PBCTP","People&#39;s United Financial, Inc.","27.69","0","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/pbctp",
"PUB","People&#39;s Utah Bancorp","25.95","465240033.75","n/a","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/pub",
"PHH","PHH Corp","13.58","728061837.58","n/a","2002","Finance","Diversified Financial Services","http://www.nasdaq.com/symbol/phh",
"PICO","PICO Holdings Inc.","16.7","385450729.4","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/pico",
"PNFP","Pinnacle Financial Partners, Inc.","62.6","3119274679.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pnfp",
"PJC","Piper Jaffray Companies","60.85","915917181.65","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/pjc",
"PJT","PJT Partners Inc.","41.1","761294149.2","n/a","2015","Finance","Investment Managers","http://www.nasdaq.com/symbol/pjt",
"PLBC","Plumas Bancorp","19","93705340","n/a","n/a","Finance","Finance Companies","http://www.nasdaq.com/symbol/plbc",
"PNC","PNC Financial Services Group, Inc. (The)","122.62","59335994695.42","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pnc",
"PBSK","Poage Bankshares, Inc.","19.4","71346235.4","n/a","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/pbsk",
"BPOP","Popular, Inc.","40.16","4095771454.56","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bpop",
"BPOPM","Popular, Inc.","22.59","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bpopm",
"BPOPN","Popular, Inc.","24.19","290280000","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bpopn",
"PBIB","Porter Bancorp, Inc.","10.49","65536484.8","n/a","2006","Finance","Major Banks","http://www.nasdaq.com/symbol/pbib",
"PYS","PPlus Trust","23.205","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/pys",
"PYT","PPlus Trust","20.75","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/pyt",
"PRAA","PRA Group, Inc.","37.4","1736816804.8","n/a","2002","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/praa",
"PFBI","Premier Financial Bancorp, Inc.","20.02","213367133.98","n/a","1996","Finance","Major Banks","http://www.nasdaq.com/symbol/pfbi",
"PRI","Primerica, Inc.","80.15","3647014955.5","n/a","2010","Finance","Life Insurance","http://www.nasdaq.com/symbol/pri",
"PFG","Principal Financial Group Inc","63.98","18440194038","n/a","2001","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/pfg",
"PVTB","PrivateBancorp, Inc.","59.88","4794840760.68","n/a","1999","Finance","Major Banks","http://www.nasdaq.com/symbol/pvtb",
"PVTBP","PrivateBancorp, Inc.","26.75","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pvtbp",
"PVTD","PrivateBancorp, Inc.","25.67","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pvtd",
"PRA","ProAssurance Corporation","58.45","3121014202.6","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pra",
"PGR","Progressive Corporation (The)","40.12","23305789122.64","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pgr",
"PB","Prosperity Bancshares, Inc.","66.07","4591155540.34","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pb",
"PVBC","Provident Bancorp, Inc.","20.7","199568451.6","n/a","2015","Finance","Savings Institutions","http://www.nasdaq.com/symbol/pvbc",
"PROV","Provident Financial Holdings, Inc.","19.01","150018308.47","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/prov",
"PFS","Provident Financial Services, Inc","24.74","1649644100.72","n/a","2003","Finance","Savings Institutions","http://www.nasdaq.com/symbol/pfs",
"PBIP","Prudential Bancorp, Inc.","18.2","163945527.2","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/pbip",
"PFK","Prudential Financial, Inc.","25.66","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/pfk",
"PJH","Prudential Financial, Inc.","26","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/pjh",
"PRH","Prudential Financial, Inc.","25.99","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/prh",
"PRU","Prudential Financial, Inc.","107.8","46246200000","n/a","2001","Finance","Life Insurance","http://www.nasdaq.com/symbol/pru",
"PUK","Prudential Public Limited Company","45.84","59157931230.24","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/puk",
"PZN","Pzena Investment Management Inc","8.99","616013679","n/a","2007","Finance","Investment Managers","http://www.nasdaq.com/symbol/pzn",
"QCRH","QCR Holdings, Inc.","44.5","586074523","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/qcrh",
"RDN","Radian Group Inc.","17.19","3697485301.89","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/rdn",
